lat,lng,pvalue,value
-69,-178.75,0.38929999999999997939,0.38929999999999997939
-68,-178.75,0.55410000000000003695,0.55410000000000003695
-67,-178.75,0.63749999999999995559,0.63749999999999995559
-66,-178.75,0.35989999999999999769,0.35989999999999999769
-65,-178.75,0.63919999999999999041,0.63919999999999999041
-64,-178.75,0.91910000000000002807,0.91910000000000002807
-63,-178.75,0.80120000000000002327,0.80120000000000002327
-62,-178.75,0.72919999999999995932,0.72919999999999995932
-61,-178.75,0.85299999999999998046,0.85299999999999998046
-60,-178.75,0.50849999999999995204,0.50849999999999995204
-59,-178.75,0.41789999999999999369,0.41789999999999999369
-58,-178.75,0.43240000000000000657,0.43240000000000000657
-57,-178.75,0.26910000000000000586,0.26910000000000000586
-56,-178.75,0.17310000000000000386,0.17310000000000000386
-55,-178.75,0.092200000000000004174,0.092200000000000004174
-54,-178.75,0.011400000000000000411,0.011400000000000000411
-53,-178.75,0.008300000000000000086,0.008300000000000000086
-52,-178.75,0.044400000000000001965,0.044400000000000001965
-51,-178.75,0.094299999999999994937,0.094299999999999994937
-50,-178.75,0.14849999999999999312,0.14849999999999999312
-49,-178.75,0.21270000000000000018,0.21270000000000000018
-48,-178.75,0.25859999999999999654,0.25859999999999999654
-47,-178.75,0.31480000000000002425,0.31480000000000002425
-46,-178.75,0.39589999999999997415,0.39589999999999997415
-45,-178.75,0.41239999999999998881,0.41239999999999998881
-44,-178.75,0.57669999999999999041,0.57669999999999999041
-43,-178.75,0.90920000000000000817,0.90920000000000000817
-42,-178.75,0.76060000000000005382,0.76060000000000005382
-41,-178.75,0.83599999999999996536,0.83599999999999996536
-40,-178.75,0.4749999999999999778,0.4749999999999999778
-39,-178.75,0.19050000000000000266,0.19050000000000000266
-38,-178.75,0.026499999999999999251,0.026499999999999999251
-37,-178.75,0.016500000000000000777,0.016500000000000000777
-36,-178.75,0.052299999999999999267,0.052299999999999999267
-35,-178.75,0.014200000000000000816,0.014200000000000000816
-34,-178.75,0.0030999999999999998911,0.0030999999999999998911
-33,-178.75,0.0012999999999999999403,0.0012999999999999999403
-32,-178.75,0.0015000000000000000312,0.0015000000000000000312
-31,-178.75,0.00080000000000000003834,0.00080000000000000003834
-30,-178.75,0.00010000000000000000479,0.00010000000000000000479
-29,-178.75,0.00010000000000000000479,0.00010000000000000000479
-28,-178.75,0.00010000000000000000479,0.00010000000000000000479
-27,-178.75,0,0
-26,-178.75,0.00020000000000000000958,0.00020000000000000000958
-25,-178.75,0.00029999999999999997372,0.00029999999999999997372
-24,-178.75,0,0
-23,-178.75,0,0
-22,-178.75,0,0
-21,-178.75,0,0
-20,-178.75,0,0
-19,-178.75,0,0
-18,-178.75,0,0
-17,-178.75,0,0
-16,-178.75,0,0
-15,-178.75,0,0
-14,-178.75,0.00010000000000000000479,0.00010000000000000000479
-13,-178.75,0.0074999999999999997224,0.0074999999999999997224
-12,-178.75,0.26679999999999998161,0.26679999999999998161
-11,-178.75,0.056099999999999997091,0.056099999999999997091
-10,-178.75,0.0016000000000000000767,0.0016000000000000000767
-9,-178.75,0,0
-8,-178.75,0,0
-7,-178.75,0,0
-6,-178.75,0,0
-5,-178.75,0,0
-4,-178.75,0,0
-3,-178.75,0,0
-2,-178.75,0,0
-1,-178.75,0,0
0,-178.75,0,0
1,-178.75,0,0
2,-178.75,0,0
3,-178.75,0,0
4,-178.75,0,0
5,-178.75,0.054199999999999998179,0.054199999999999998179
6,-178.75,0.25409999999999999254,0.25409999999999999254
7,-178.75,0.0028999999999999998002,0.0028999999999999998002
8,-178.75,0.00059999999999999994744,0.00059999999999999994744
9,-178.75,0.0030999999999999998911,0.0030999999999999998911
10,-178.75,0.018599999999999998479,0.018599999999999998479
11,-178.75,0.13270000000000001239,0.13270000000000001239
12,-178.75,0.38000000000000000444,0.38000000000000000444
13,-178.75,0.62919999999999998153,0.62919999999999998153
14,-178.75,0.72319999999999995399,0.72319999999999995399
15,-178.75,0.54069999999999995843,0.54069999999999995843
16,-178.75,0.29480000000000000648,0.29480000000000000648
17,-178.75,0.017200000000000000011,0.017200000000000000011
18,-178.75,0.0011000000000000000663,0.0011000000000000000663
19,-178.75,0.00010000000000000000479,0.00010000000000000000479
20,-178.75,0,0
21,-178.75,0,0
22,-178.75,0.00020000000000000000958,0.00020000000000000000958
23,-178.75,0.00020000000000000000958,0.00020000000000000000958
24,-178.75,0,0
25,-178.75,0,0
26,-178.75,0,0
27,-178.75,0,0
28,-178.75,0,0
29,-178.75,0,0
30,-178.75,0.00010000000000000000479,0.00010000000000000000479
31,-178.75,0.00020000000000000000958,0.00020000000000000000958
32,-178.75,0.00080000000000000003834,0.00080000000000000003834
33,-178.75,0.003899999999999999821,0.003899999999999999821
34,-178.75,0.022800000000000000822,0.022800000000000000822
35,-178.75,0.058700000000000002176,0.058700000000000002176
36,-178.75,0.29989999999999999991,0.29989999999999999991
37,-178.75,0.34239999999999998215,0.34239999999999998215
38,-178.75,0.39739999999999997549,0.39739999999999997549
39,-178.75,0.28799999999999997824,0.28799999999999997824
40,-178.75,0.37880000000000002558,0.37880000000000002558
41,-178.75,0.9260000000000000453,0.9260000000000000453
42,-178.75,0.98960000000000003517,0.98960000000000003517
43,-178.75,0.69940000000000002167,0.69940000000000002167
44,-178.75,0.44900000000000001021,0.44900000000000001021
45,-178.75,0.36799999999999999378,0.36799999999999999378
46,-178.75,0.3018000000000000127,0.3018000000000000127
47,-178.75,0.69930000000000003268,0.69930000000000003268
48,-178.75,0.79759999999999997566,0.79759999999999997566
49,-178.75,0.82660000000000000142,0.82660000000000000142
50,-178.75,0.83620000000000005436,0.83620000000000005436
51,-178.75,0.95389999999999997016,0.95389999999999997016
52,-178.75,0.93830000000000002292,0.93830000000000002292
53,-178.75,0.81420000000000003482,0.81420000000000003482
54,-178.75,0.67030000000000000693,0.67030000000000000693
55,-178.75,0.66920000000000001705,0.66920000000000001705
56,-178.75,0.6215000000000000524,0.6215000000000000524
57,-178.75,0.60719999999999996199,0.60719999999999996199
