lat,lng,pvalue,value
-69,-178.75,0.13659712128700976508,1.5130547354857315501
-68,-178.75,0.12732600572644584003,1.5402026770639236641
-67,-178.75,0.042724007080909252865,1.934007189148303274
-66,-178.75,0.052499979180826501779,1.8629486943846147451
-65,-178.75,0.027323234984443178081,2.0843165817582223198
-64,-178.75,0.047201201147339513775,1.8997926799754831784
-63,-178.75,0.055855060995430104442,1.8413378717646302629
-62,-178.75,0.063820426543724509405,1.7944115764737775809
-61,-178.75,0.1148378717872016036,1.5795839400226723281
-60,-178.75,0.12040272225762180258,1.5616016102815726274
-59,-178.75,0.15794234240444993134,1.456035781384520611
-58,-178.75,0.16362659619880853823,1.4419454532978019934
-57,-178.75,0.041520851473388249719,1.9437633449008706599
-56,-178.75,0.0099514300949250355383,2.4088563959244848611
-55,-178.75,0.034652480424493620204,2.005024801982094651
-54,-178.75,0.024125749773732056008,2.1253404167982621331
-53,-178.75,0.042796621034993570509,1.9334264990710257059
-52,-178.75,0.02481510956981876001,2.1160828477620148291
-51,-178.75,0.0028765560119892695512,2.7874318086540523787
-50,-178.75,0.00051519785226110826476,3.2876817447688440055
-49,-178.75,0.0061353455851090449302,2.5585864016304213919
-48,-178.75,0.04521337805529581505,1.9145987044237771091
-47,-178.75,0.22524490349069417605,1.3103092437630083911
-46,-178.75,0.35456071020876223088,1.1055384636804941323
-45,-178.75,0.085865076547773880322,1.6877028792042740868
-44,-178.75,0.017339996844857184094,2.2326866910592180204
-43,-178.75,0.33987489205815640814,1.1258202190063009152
-42,-178.75,0.49102808006734366408,0.93715742332473472853
-41,-178.75,0.091961105846430191146,1.6625404317808316623
-40,-178.75,0.044821858587949674202,1.9175851167381645634
-39,-178.75,0.020422337988308648937,2.1797707501226271098
-38,-178.75,0.015027209509971096307,2.2785879798976669264
-37,-178.75,0.039163674046642976689,1.9636567242586211446
-36,-178.75,0.034226937343922340939,2.0091807220392374767
-35,-178.75,0.051424363605418847711,1.870143883686401054
-34,-178.75,0.10591410522360010515,1.6100613897882318781
-33,-178.75,0.079237485965037407487,1.7169246121278978201
-32,-178.75,0.17683257734945026507,1.4107094559314310445
-31,-178.75,0.19972406145410090406,1.3608110964953545885
-30,-178.75,0.25402574720050852264,1.2584404350174862586
-29,-178.75,0.21293439233628524976,1.3340727692914216007
-28,-178.75,0.17932229928183993084,1.4050365327253715453
-27,-178.75,0.087712268979660154566,1.6799156901816898468
-26,-178.75,0.14537946029305207074,1.4887450203559646766
-25,-178.75,0.099521488424687443164,1.6333015710119114239
-24,-178.75,0.052535598113897380435,1.8627127340919515941
-23,-178.75,0.036817188392940430886,1.9845892940176648178
-22,-178.75,0.045300373600495366655,1.9139383485265837326
-21,-178.75,0.066821705440250664387,1.7780965251074944966
-20,-178.75,0.084663016864348183965,1.6928505375902078711
-19,-178.75,0.07616086007143035852,1.7312368369248229971
-18,-178.75,0.068481224019376313317,1.7693567954525846186
-17,-178.75,0.031127792514029275356,2.0409803994083559608
-16,-178.75,0.019768790544325360453,2.1903300093868680598
-15,-178.75,0.028109649218738951004,2.0749164613953969827
-14,-178.75,0.058683160022256777855,1.82401978590580649
-13,-178.75,0.048299137715632448065,1.8918581101939120348
-12,-178.75,0.064726445572292901076,1.7894147478332744772
-11,-178.75,0.35931927569277938295,1.099083786189463785
-10,-178.75,0.83393987591675411419,0.55602490435857176987
-9,-178.75,0.46834153378585063887,0.96325773949538606722
-8,-178.75,0.098735510797453129861,1.6362485462522391444
-7,-178.75,0.00050203850484603184789,3.2950436270604370748
-6,-178.75,1.274409654498454223e-06,4.9156196318322891159
-5,-178.75,5.7979866522621163813e-09,6.2986844234720971158
-4,-178.75,1.8733857986770153783e-09,6.5828187883431050764
-3,-178.75,9.9647156550964522338e-10,6.7409182288419708939
-2,-178.75,1.3239109587539978746e-08,6.0899831224045763989
-1,-178.75,6.4726728114045337068e-08,5.6860613046655599234
0,-178.75,2.8471822596071995362e-07,5.305267370858924636
1,-178.75,3.6998797736844781939e-09,6.4118510984193957114
2,-178.75,1.8613426432372225705e-08,6.0035864100528710807
3,-178.75,1.3898163040827352931e-05,4.2830643887332469077
4,-178.75,0.025224603079553674367,2.1106970066234342909
5,-178.75,0.1007512669092467672,1.6287312626379348846
6,-178.75,0.028657452653113223151,2.0685123856441340884
7,-178.75,0.074727792544552695819,1.7380804956471742617
8,-178.75,0.062104067597144263502,1.8040558179413894724
9,-178.75,0.031424039735427254649,2.0378164366800106677
10,-178.75,0.039447590891230663313,1.9612030044683956831
11,-178.75,0.046112182702427860492,1.907831636920279017
12,-178.75,0.030999566708318337244,2.0423585610621284303
13,-178.75,0.087163730629729749277,1.6822128732685541763
14,-178.75,0.22353095816361401305,1.3135559066673145878
15,-178.75,0.23694284802674109303,1.2886472277149552124
16,-178.75,0.16959017733651429727,1.4275920925155645147
17,-178.75,0.10715608434503641477,1.6056889022995823879
18,-178.75,0.33463933122734601522,1.1331901517965734527
19,-178.75,0.098892793073972515283,1.6356571837188340623
20,-178.75,0.084014843215129808573,1.6956532260109873356
21,-178.75,0.19061171896150680416,1.3800903128753949645
22,-178.75,0.28793732693575951886,1.2027118411641204432
23,-178.75,0.32065725623638396957,1.1532596418280087747
24,-178.75,0.19114296916203987742,1.3789462018600411319
25,-178.75,0.034883801872161737667,2.0027854857338862615
26,-178.75,0.091680338901081806502,1.6636664912624417045
27,-178.75,0.23823325900002370603,1.286308513883569038
28,-178.75,0.11477834796026077646,1.5797803200698758985
29,-178.75,0.14846019999311704796,1.4805107850521304069
30,-178.75,0.26965340922348063346,1.2321182765944296289
31,-178.75,0.51087563232829147353,0.91474551889934230253
32,-178.75,0.68739340475537935582,0.7239728144273053223
33,-178.75,0.51088717500807656613,0.91473258731104478692
34,-178.75,0.50823033591981581214,0.91771211277530828632
35,-178.75,0.36582231885482863198,1.090350397589633813
36,-178.75,0.20028747235134861104,1.3596424075855448876
