lat,lng,pvalue,value
-69,-178.75,0.3865999999999999992,0.3865999999999999992
-68,-178.75,0.78380000000000005222,0.78380000000000005222
-67,-178.75,0.964199999999999946,0.964199999999999946
-66,-178.75,0.87839999999999995861,0.87839999999999995861
-65,-178.75,0.64980000000000004423,0.64980000000000004423
-64,-178.75,0.39450000000000001732,0.39450000000000001732
-63,-178.75,0.43469999999999997531,0.43469999999999997531
-62,-178.75,0.77629999999999999005,0.77629999999999999005
-61,-178.75,0.73309999999999997389,0.73309999999999997389
-60,-178.75,0.6677999999999999492,0.6677999999999999492
-59,-178.75,0.86819999999999997176,0.86819999999999997176
-58,-178.75,0.72119999999999995222,0.72119999999999995222
-57,-178.75,0.39939999999999997726,0.39939999999999997726
-56,-178.75,0.30280000000000001359,0.30280000000000001359
-55,-178.75,0.12039999999999999314,0.12039999999999999314
-54,-178.75,0.043700000000000002731,0.043700000000000002731
-53,-178.75,0.025499999999999998362,0.025499999999999998362
-52,-178.75,0.092799999999999993605,0.092799999999999993605
-51,-178.75,0.2670000000000000151,0.2670000000000000151
-50,-178.75,0.72440000000000004388,0.72440000000000004388
-49,-178.75,0.97509999999999996678,0.97509999999999996678
-48,-178.75,0.76439999999999996838,0.76439999999999996838
-47,-178.75,0.71440000000000003499,0.71440000000000003499
-46,-178.75,0.5581000000000000405,0.5581000000000000405
-45,-178.75,0.34939999999999998836,0.34939999999999998836
-44,-178.75,0.34779999999999999805,0.34779999999999999805
-43,-178.75,0.29010000000000002451,0.29010000000000002451
-42,-178.75,0.13309999999999999609,0.13309999999999999609
-41,-178.75,0.23630000000000001004,0.23630000000000001004
-40,-178.75,0.21620000000000000329,0.21620000000000000329
-39,-178.75,0.059900000000000001854,0.059900000000000001854
-38,-178.75,0.024500000000000000944,0.024500000000000000944
-37,-178.75,0.041700000000000000955,0.041700000000000000955
-36,-178.75,0.13180000000000000049,0.13180000000000000049
-35,-178.75,0.10749999999999999833,0.10749999999999999833
-34,-178.75,0.31540000000000001368,0.31540000000000001368
-33,-178.75,0.63959999999999994635,0.63959999999999994635
-32,-178.75,0.6813000000000000167,0.6813000000000000167
-31,-178.75,0.72199999999999997513,0.72199999999999997513
-30,-178.75,0.61080000000000000959,0.61080000000000000959
-29,-178.75,0.50190000000000001279,0.50190000000000001279
-28,-178.75,0.44969999999999998863,0.44969999999999998863
-27,-178.75,0.59430000000000005045,0.59430000000000005045
-26,-178.75,0.83020000000000004903,0.83020000000000004903
-25,-178.75,0.71370000000000000107,0.71370000000000000107
-24,-178.75,0.4445999999999999952,0.4445999999999999952
-23,-178.75,0.18990000000000001323,0.18990000000000001323
-22,-178.75,0.067699999999999996292,0.067699999999999996292
-21,-178.75,0.024099999999999999895,0.024099999999999999895
-20,-178.75,0.0094999999999999997641,0.0094999999999999997641
-19,-178.75,0.0060000000000000001249,0.0060000000000000001249
-18,-178.75,0.0043000000000000000028,0.0043000000000000000028
-17,-178.75,0.0030000000000000000625,0.0030000000000000000625
-16,-178.75,0.0022999999999999999611,0.0022999999999999999611
-15,-178.75,0.010200000000000000733,0.010200000000000000733
-14,-178.75,0.034900000000000000466,0.034900000000000000466
-13,-178.75,0.14269999999999999352,0.14269999999999999352
-12,-178.75,0.29689999999999999725,0.29689999999999999725
-11,-178.75,0.69110000000000004761,0.69110000000000004761
-10,-178.75,0.1865999999999999881,0.1865999999999999881
-9,-178.75,0.03250000000000000111,0.03250000000000000111
-8,-178.75,0.0020999999999999998702,0.0020999999999999998702
-7,-178.75,0,0
-6,-178.75,0,0
-5,-178.75,0,0
-4,-178.75,0,0
-3,-178.75,0,0
-2,-178.75,0,0
-1,-178.75,0,0
0,-178.75,0,0
1,-178.75,0,0
2,-178.75,0,0
3,-178.75,0.00010000000000000000479,0.00010000000000000000479
4,-178.75,0,0
