,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
59,-10,-178.75,1.0,0.0,"(-10.5, -9.5, -179.375, -178.125)",0.0,1.0,0.0
60,-9,-178.75,1.0,0.0,"(-9.5, -8.5, -179.375, -178.125)",0.0,1.0,0.0
61,-8,-178.75,1.0,0.0,"(-8.5, -7.5, -179.375, -178.125)",0.0,1.0,0.0
62,-7,-178.75,1.0,0.0,"(-7.5, -6.5, -179.375, -178.125)",0.0,1.0,0.0
63,-6,-178.75,1.0,0.0,"(-6.5, -5.5, -179.375, -178.125)",0.0,1.0,0.0
64,-5,-178.75,1.0,0.0,"(-5.5, -4.5, -179.375, -178.125)",0.0,1.0,0.0
65,-4,-178.75,1.0,0.0,"(-4.5, -3.5, -179.375, -178.125)",0.0,1.0,0.0
66,-3,-178.75,1.0,0.0,"(-3.5, -2.5, -179.375, -178.125)",0.0,1.0,0.0
67,-2,-178.75,1.0,0.0,"(-2.5, -1.5, -179.375, -178.125)",0.0,1.0,0.0
68,-1,-178.75,1.0,0.0,"(-1.5, -0.5, -179.375, -178.125)",0.0,1.0,0.0
69,0,-178.75,1.0,0.0,"(-0.5, 0.5, -179.375, -178.125)",0.0,1.0,0.0
70,1,-178.75,1.0,0.0,"(0.5, 1.5, -179.375, -178.125)",0.0,1.0,0.0
71,2,-178.75,1.0,0.0,"(1.5, 2.5, -179.375, -178.125)",0.0,1.0,0.0
72,3,-178.75,1.0,0.0,"(2.5, 3.5, -179.375, -178.125)",0.0,1.0,0.0
73,4,-178.75,1.0,0.0,"(3.5, 4.5, -179.375, -178.125)",0.0,1.0,0.0
74,5,-178.75,1.0,0.0,"(4.5, 5.5, -179.375, -178.125)",0.0,1.0,0.0
75,6,-178.75,1.0,0.0,"(5.5, 6.5, -179.375, -178.125)",0.0,1.0,0.0
76,7,-178.75,1.0,0.0,"(6.5, 7.5, -179.375, -178.125)",0.0,1.0,0.0
77,8,-178.75,1.0,0.0,"(7.5, 8.5, -179.375, -178.125)",0.0,1.0,0.0
78,9,-178.75,1.0,0.0,"(8.5, 9.5, -179.375, -178.125)",0.0,1.0,0.0
79,10,-178.75,1.0,0.0,"(9.5, 10.5, -179.375, -178.125)",0.0,1.0,0.0
80,11,-178.75,1.0,0.0,"(10.5, 11.5, -179.375, -178.125)",0.0,1.0,0.0
81,12,-178.75,1.0,0.0,"(11.5, 12.5, -179.375, -178.125)",0.0,1.0,0.0
82,13,-178.75,1.0,0.0,"(12.5, 13.5, -179.375, -178.125)",0.0,1.0,0.0
83,14,-178.75,1.0,0.0,"(13.5, 14.5, -179.375, -178.125)",0.0,1.0,0.0
84,15,-178.75,1.0,0.0,"(14.5, 15.5, -179.375, -178.125)",0.0,1.0,0.0
85,16,-178.75,1.0,0.0,"(15.5, 16.5, -179.375, -178.125)",0.0,1.0,0.0
86,17,-178.75,1.0,0.0,"(16.5, 17.5, -179.375, -178.125)",0.0,1.0,0.0
87,18,-178.75,1.0,0.0,"(17.5, 18.5, -179.375, -178.125)",0.0,1.0,0.0
88,19,-178.75,1.0,0.0,"(18.5, 19.5, -179.375, -178.125)",0.0,1.0,0.0
89,20,-178.75,1.0,0.0,"(19.5, 20.5, -179.375, -178.125)",0.0,1.0,0.0
90,21,-178.75,1.0,0.0,"(20.5, 21.5, -179.375, -178.125)",0.0,1.0,0.0
91,22,-178.75,1.0,0.0,"(21.5, 22.5, -179.375, -178.125)",0.0,1.0,0.0
92,23,-178.75,1.0,0.0,"(22.5, 23.5, -179.375, -178.125)",0.0,1.0,0.0
93,24,-178.75,1.0,0.0,"(23.5, 24.5, -179.375, -178.125)",0.0,1.0,0.0
94,25,-178.75,1.0,0.0,"(24.5, 25.5, -179.375, -178.125)",0.0,1.0,0.0
95,26,-178.75,1.0,0.0,"(25.5, 26.5, -179.375, -178.125)",0.0,1.0,0.0
96,27,-178.75,1.0,0.0,"(26.5, 27.5, -179.375, -178.125)",0.0,1.0,0.0
97,28,-178.75,1.0,0.0,"(27.5, 28.5, -179.375, -178.125)",0.0,1.0,0.0
98,29,-178.75,1.0,0.0,"(28.5, 29.5, -179.375, -178.125)",0.0,1.0,0.0
99,30,-178.75,1.0,0.0,"(29.5, 30.5, -179.375, -178.125)",0.0,1.0,0.0
100,31,-178.75,1.0,0.0,"(30.5, 31.5, -179.375, -178.125)",0.0,1.0,0.0
101,32,-178.75,1.0,0.0,"(31.5, 32.5, -179.375, -178.125)",0.0,1.0,0.0
102,33,-178.75,1.0,0.0,"(32.5, 33.5, -179.375, -178.125)",0.0,1.0,0.0
103,34,-178.75,1.0,0.0,"(33.5, 34.5, -179.375, -178.125)",0.0,1.0,0.0
104,35,-178.75,1.0,0.0,"(34.5, 35.5, -179.375, -178.125)",0.0,1.0,0.0
105,36,-178.75,1.0,0.0,"(35.5, 36.5, -179.375, -178.125)",0.0,1.0,0.0
106,37,-178.75,1.0,0.0,"(36.5, 37.5, -179.375, -178.125)",0.0,1.0,0.0
107,38,-178.75,1.0,0.0,"(37.5, 38.5, -179.375, -178.125)",0.0,1.0,0.0
108,39,-178.75,1.0,0.0,"(38.5, 39.5, -179.375, -178.125)",0.0,1.0,0.0
109,40,-178.75,1.0,0.0,"(39.5, 40.5, -179.375, -178.125)",0.0,1.0,0.0
110,41,-178.75,1.0,0.0,"(40.5, 41.5, -179.375, -178.125)",0.0,1.0,0.0
111,42,-178.75,1.0,0.0,"(41.5, 42.5, -179.375, -178.125)",0.0,1.0,0.0
112,43,-178.75,1.0,0.0,"(42.5, 43.5, -179.375, -178.125)",0.0,1.0,0.0
113,44,-178.75,1.0,0.0,"(43.5, 44.5, -179.375, -178.125)",0.0,1.0,0.0
114,45,-178.75,1.0,0.0,"(44.5, 45.5, -179.375, -178.125)",0.0,1.0,0.0
115,46,-178.75,1.0,0.0,"(45.5, 46.5, -179.375, -178.125)",0.0,1.0,0.0
116,47,-178.75,1.0,0.0,"(46.5, 47.5, -179.375, -178.125)",0.0,1.0,0.0
117,48,-178.75,1.0,0.0,"(47.5, 48.5, -179.375, -178.125)",0.0,1.0,0.0
118,49,-178.75,1.0,0.0,"(48.5, 49.5, -179.375, -178.125)",0.0,1.0,0.0
119,50,-178.75,1.0,0.0,"(49.5, 50.5, -179.375, -178.125)",0.0,1.0,0.0
120,51,-178.75,1.0,0.0,"(50.5, 51.5, -179.375, -178.125)",0.0,1.0,0.0
121,52,-178.75,1.0,0.0,"(51.5, 52.5, -179.375, -178.125)",0.0,1.0,0.0
122,53,-178.75,1.0,0.0,"(52.5, 53.5, -179.375, -178.125)",0.0,1.0,0.0
