lat,lng,pvalue,value
-60,-170,0.29260000000000002673,0.29260000000000002673
-50,-170,0.008399999999999999481,0.008399999999999999481
-40,-170,0.4481999999999999873,0.4481999999999999873
-30,-170,0,0
-20,-170,0,0
-10,-170,0,0
0,-170,0,0
10,-170,0.0011000000000000000663,0.0011000000000000000663
20,-170,0.00050000000000000001041,0.00050000000000000001041
30,-170,0.00029999999999999997372,0.00029999999999999997372
40,-170,0.41630000000000000338,0.41630000000000000338
50,-170,0.16580000000000000293,0.16580000000000000293
60,-170,0.4313000000000000167,0.4313000000000000167
70,-170,0.0028999999999999998002,0.0028999999999999998002
-60,-160,0.28989999999999999103,0.28989999999999999103
-50,-160,0.087999999999999994893,0.087999999999999994893
-40,-160,0.31750000000000000444,0.31750000000000000444
-30,-160,0,0
-20,-160,0,0
-10,-160,0,0
0,-160,0,0
10,-160,0.0016000000000000000767,0.0016000000000000000767
20,-160,0.026399999999999999856,0.026399999999999999856
30,-160,0.0711999999999999994,0.0711999999999999994
40,-160,0.079100000000000003642,0.079100000000000003642
50,-160,0.31659999999999999254,0.31659999999999999254
60,-160,0.20630000000000001115,0.20630000000000001115
70,-160,0.11569999999999999729,0.11569999999999999729
-60,-150,0.24749999999999999778,0.24749999999999999778
-50,-150,0.17969999999999999862,0.17969999999999999862
-40,-150,0.51690000000000002611,0.51690000000000002611
-30,-150,0,0
-20,-150,0.0010000000000000000208,0.0010000000000000000208
-10,-150,0.0011000000000000000663,0.0011000000000000000663
0,-150,0,0
10,-150,0.021799999999999999933,0.021799999999999999933
20,-150,0.016099999999999999728,0.016099999999999999728
30,-150,0.47980000000000000426,0.47980000000000000426
40,-150,0.012900000000000000008,0.012900000000000000008
50,-150,0.032199999999999999456,0.032199999999999999456
60,-150,0.00020000000000000000958,0.00020000000000000000958
70,-150,0.31019999999999997575,0.31019999999999997575
-60,-140,0.59160000000000001474,0.59160000000000001474
-50,-140,0.13350000000000000755,0.13350000000000000755
-40,-140,0.27279999999999998694,0.27279999999999998694
-30,-140,0.027699999999999998929,0.027699999999999998929
-20,-140,0.010800000000000000572,0.010800000000000000572
-10,-140,0.029899999999999999495,0.029899999999999999495
