lat,lng,pvalue,value
-69,-178.75,0.35439999999999999281,0.35439999999999999281
-68,-178.75,0.60140000000000004565,0.60140000000000004565
-67,-178.75,0.65010000000000001119,0.65010000000000001119
-66,-178.75,0.39960000000000001075,0.39960000000000001075
-65,-178.75,0.64080000000000003624,0.64080000000000003624
-64,-178.75,0.89449999999999996181,0.89449999999999996181
-63,-178.75,0.84309999999999996056,0.84309999999999996056
-62,-178.75,0.79590000000000005187,0.79590000000000005187
-61,-178.75,0.88480000000000003091,0.88480000000000003091
-60,-178.75,0.58250000000000001776,0.58250000000000001776
-59,-178.75,0.42270000000000002016,0.42270000000000002016
-58,-178.75,0.34000000000000002442,0.34000000000000002442
-57,-178.75,0.21790000000000001035,0.21790000000000001035
-56,-178.75,0.15299999999999999711,0.15299999999999999711
-55,-178.75,0.079899999999999998801,0.079899999999999998801
-54,-178.75,0.008300000000000000086,0.008300000000000000086
-53,-178.75,0.010099999999999999603,0.010099999999999999603
-52,-178.75,0.057599999999999998423,0.057599999999999998423
-51,-178.75,0.083699999999999996625,0.083699999999999996625
-50,-178.75,0.13029999999999999916,0.13029999999999999916
-49,-178.75,0.19050000000000000266,0.19050000000000000266
-48,-178.75,0.31640000000000001457,0.31640000000000001457
-47,-178.75,0.30609999999999998321,0.30609999999999998321
-46,-178.75,0.32729999999999997984,0.32729999999999997984
-45,-178.75,0.39190000000000002611,0.39190000000000002611
-44,-178.75,0.57179999999999997495,0.57179999999999997495
-43,-178.75,0.87290000000000000924,0.87290000000000000924
-42,-178.75,0.83460000000000000853,0.83460000000000000853
-41,-178.75,0.75809999999999999609,0.75809999999999999609
-40,-178.75,0.4990999999999999881,0.4990999999999999881
-39,-178.75,0.20449999999999998734,0.20449999999999998734
-38,-178.75,0.041099999999999997646,0.041099999999999997646
-37,-178.75,0.022800000000000000822,0.022800000000000000822
-36,-178.75,0.069199999999999997624,0.069199999999999997624
-35,-178.75,0.015599999999999999284,0.015599999999999999284
-34,-178.75,0.0018999999999999999962,0.0018999999999999999962
-33,-178.75,0.00080000000000000003834,0.00080000000000000003834
-32,-178.75,0.00080000000000000003834,0.00080000000000000003834
-31,-178.75,0.00050000000000000001041,0.00050000000000000001041
-30,-178.75,0.00010000000000000000479,0.00010000000000000000479
-29,-178.75,0,0
-28,-178.75,0,0
-27,-178.75,0,0
-26,-178.75,0,0
-25,-178.75,0,0
-24,-178.75,0.00010000000000000000479,0.00010000000000000000479
-23,-178.75,0,0
-22,-178.75,0,0
-21,-178.75,0,0
-20,-178.75,0,0
-19,-178.75,0,0
-18,-178.75,0,0
-17,-178.75,0.00010000000000000000479,0.00010000000000000000479
-16,-178.75,0,0
-15,-178.75,0,0
-14,-178.75,0.00059999999999999994744,0.00059999999999999994744
-13,-178.75,0.017500000000000001665,0.017500000000000001665
-12,-178.75,0.41549999999999998046,0.41549999999999998046
-11,-178.75,0.050900000000000000799,0.050900000000000000799
-10,-178.75,0.0016999999999999999053,0.0016999999999999999053
-9,-178.75,0.00029999999999999997372,0.00029999999999999997372
-8,-178.75,0,0
-7,-178.75,0,0
-6,-178.75,0,0
-5,-178.75,0,0
-4,-178.75,0,0
-3,-178.75,0,0
-2,-178.75,0,0
-1,-178.75,0,0
0,-178.75,0,0
1,-178.75,0,0
2,-178.75,0,0
3,-178.75,0,0
4,-178.75,0,0
5,-178.75,0.065900000000000000244,0.065900000000000000244
6,-178.75,0.2116000000000000103,0.2116000000000000103
7,-178.75,0.0061999999999999997821,0.0061999999999999997821
8,-178.75,0.00089999999999999997537,0.00089999999999999997537
9,-178.75,0.0028999999999999998002,0.0028999999999999998002
10,-178.75,0.026800000000000000905,0.026800000000000000905
11,-178.75,0.15729999999999999538,0.15729999999999999538
12,-178.75,0.43809999999999998943,0.43809999999999998943
13,-178.75,0.64619999999999999662,0.64619999999999999662
14,-178.75,0.74990000000000001101,0.74990000000000001101
15,-178.75,0.61839999999999994973,0.61839999999999994973
16,-178.75,0.2874999999999999778,0.2874999999999999778
17,-178.75,0.017000000000000001221,0.017000000000000001221
18,-178.75,0.0016999999999999999053,0.0016999999999999999053
19,-178.75,0.00010000000000000000479,0.00010000000000000000479
20,-178.75,0.00040000000000000001917,0.00040000000000000001917
21,-178.75,0,0
22,-178.75,0.00010000000000000000479,0.00010000000000000000479
23,-178.75,0.00010000000000000000479,0.00010000000000000000479
24,-178.75,0.00020000000000000000958,0.00020000000000000000958
25,-178.75,0,0
26,-178.75,0,0
27,-178.75,0,0
28,-178.75,0,0
29,-178.75,0,0
30,-178.75,0,0
31,-178.75,0,0
32,-178.75,0.00080000000000000003834,0.00080000000000000003834
33,-178.75,0.0020000000000000000416,0.0020000000000000000416
34,-178.75,0.02050000000000000086,0.02050000000000000086
35,-178.75,0.06619999999999999496,0.06619999999999999496
36,-178.75,0.29859999999999997655,0.29859999999999997655
37,-178.75,0.42699999999999999067,0.42699999999999999067
38,-178.75,0.46999999999999997335,0.46999999999999997335
39,-178.75,0.23580000000000000959,0.23580000000000000959
40,-178.75,0.41079999999999999849,0.41079999999999999849
41,-178.75,0.9811999999999999611,0.9811999999999999611
42,-178.75,0.98350000000000004086,0.98350000000000004086
43,-178.75,0.60540000000000004921,0.60540000000000004921
44,-178.75,0.37790000000000001368,0.37790000000000001368
45,-178.75,0.28229999999999999538,0.28229999999999999538
