lat,lng,pvalue,value
-69,-178.75,0.15299999999999999711,0.15299999999999999711
-68,-178.75,0.29260000000000002673,0.29260000000000002673
-67,-178.75,0.37900000000000000355,0.37900000000000000355
-66,-178.75,0.60280000000000000249,0.60280000000000000249
-65,-178.75,0.6760000000000000453,0.6760000000000000453
-64,-178.75,0.72750000000000003553,0.72750000000000003553
-63,-178.75,0.6989999999999999547,0.6989999999999999547
-62,-178.75,0.48289999999999999591,0.48289999999999999591
-61,-178.75,0.26929999999999998384,0.26929999999999998384
-60,-178.75,0.30280000000000001359,0.30280000000000001359
-59,-178.75,0.37019999999999997353,0.37019999999999997353
-58,-178.75,0.27650000000000002354,0.27650000000000002354
-57,-178.75,0.058400000000000000522,0.058400000000000000522
-56,-178.75,0.018900000000000000133,0.018900000000000000133
-55,-178.75,0.025999999999999998807,0.025999999999999998807
-54,-178.75,0.010899999999999999967,0.010899999999999999967
-53,-178.75,0.00069999999999999999289,0.00069999999999999999289
-52,-178.75,0.00010000000000000000479,0.00010000000000000000479
-51,-178.75,0.0010000000000000000208,0.0010000000000000000208
-50,-178.75,0.011299999999999999281,0.011299999999999999281
-49,-178.75,0.34139999999999998126,0.34139999999999998126
-48,-178.75,0.83940000000000003499,0.83940000000000003499
-47,-178.75,0.91690000000000004832,0.91690000000000004832
-46,-178.75,0.80830000000000001847,0.80830000000000001847
-45,-178.75,0.72599999999999997868,0.72599999999999997868
-44,-178.75,0.53129999999999999449,0.53129999999999999449
-43,-178.75,0.49969999999999997753,0.49969999999999997753
-42,-178.75,0.37080000000000001847,0.37080000000000001847
-41,-178.75,0.3025999999999999801,0.3025999999999999801
-40,-178.75,0.37240000000000000879,0.37240000000000000879
-39,-178.75,0.47830000000000000293,0.47830000000000000293
-38,-178.75,0.35239999999999999103,0.35239999999999999103
-37,-178.75,0.19070000000000000839,0.19070000000000000839
-36,-178.75,0.16530000000000000249,0.16530000000000000249
-35,-178.75,0.10269999999999999962,0.10269999999999999962
-34,-178.75,0.037800000000000000266,0.037800000000000000266
-33,-178.75,0.016699999999999999567,0.016699999999999999567
-32,-178.75,0.048800000000000003098,0.048800000000000003098
-31,-178.75,0.038800000000000001155,0.038800000000000001155
-30,-178.75,0.010200000000000000733,0.010200000000000000733
-29,-178.75,0.00069999999999999999289,0.00069999999999999999289
-28,-178.75,0.00059999999999999994744,0.00059999999999999994744
-27,-178.75,0.0016999999999999999053,0.0016999999999999999053
-26,-178.75,0.0035000000000000000729,0.0035000000000000000729
-25,-178.75,0.00449999999999999966,0.00449999999999999966
-24,-178.75,0.00080000000000000003834,0.00080000000000000003834
-23,-178.75,0.00040000000000000001917,0.00040000000000000001917
-22,-178.75,0.0011999999999999998949,0.0011999999999999998949
-21,-178.75,0.0010000000000000000208,0.0010000000000000000208
-20,-178.75,0.0079000000000000007716,0.0079000000000000007716
-19,-178.75,0.014000000000000000291,0.014000000000000000291
-18,-178.75,0.003899999999999999821,0.003899999999999999821
-17,-178.75,0.0016999999999999999053,0.0016999999999999999053
-16,-178.75,0.0013999999999999999858,0.0013999999999999999858
-15,-178.75,0.0013999999999999999858,0.0013999999999999999858
-14,-178.75,0.00899999999999999932,0.00899999999999999932
-13,-178.75,0.020000000000000000416,0.020000000000000000416
-12,-178.75,0.018499999999999999084,0.018499999999999999084
-11,-178.75,0.086599999999999996425,0.086599999999999996425
-10,-178.75,0.91500000000000003553,0.91500000000000003553
-9,-178.75,0.07720000000000000473,0.07720000000000000473
-8,-178.75,0.0054000000000000002859,0.0054000000000000002859
-7,-178.75,0,0
-6,-178.75,0,0
-5,-178.75,0,0
-4,-178.75,0,0
-3,-178.75,0,0
-2,-178.75,0,0
-1,-178.75,0.00010000000000000000479,0.00010000000000000000479
0,-178.75,0.00029999999999999997372,0.00029999999999999997372
1,-178.75,0.00020000000000000000958,0.00020000000000000000958
2,-178.75,0.0015000000000000000312,0.0015000000000000000312
3,-178.75,0.012900000000000000008,0.012900000000000000008
4,-178.75,0.20930000000000001381,0.20930000000000001381
5,-178.75,0.29389999999999999458,0.29389999999999999458
6,-178.75,0.0269000000000000003,0.0269000000000000003
7,-178.75,0.010200000000000000733,0.010200000000000000733
8,-178.75,0.018800000000000000738,0.018800000000000000738
9,-178.75,0.010000000000000000208,0.010000000000000000208
10,-178.75,0.015199999999999999969,0.015199999999999999969
11,-178.75,0.034900000000000000466,0.034900000000000000466
12,-178.75,0.049099999999999997813,0.049099999999999997813
13,-178.75,0.067400000000000001577,0.067400000000000001577
14,-178.75,0.10009999999999999454,0.10009999999999999454
15,-178.75,0.093700000000000005507,0.093700000000000005507
16,-178.75,0.10530000000000000471,0.10530000000000000471
17,-178.75,0.10090000000000000357,0.10090000000000000357
18,-178.75,0.082199999999999995293,0.082199999999999995293
19,-178.75,0.11609999999999999487,0.11609999999999999487
20,-178.75,0.2554000000000000159,0.2554000000000000159
21,-178.75,0.38690000000000002167,0.38690000000000002167
22,-178.75,0.33289999999999997371,0.33289999999999997371
23,-178.75,0.30930000000000001936,0.30930000000000001936
24,-178.75,0.21809999999999998832,0.21809999999999998832
25,-178.75,0.072300000000000003153,0.072300000000000003153
26,-178.75,0.058099999999999998868,0.058099999999999998868
27,-178.75,0.057500000000000002498,0.057500000000000002498
28,-178.75,0.021899999999999999328,0.021899999999999999328
29,-178.75,0.022499999999999999167,0.022499999999999999167
30,-178.75,0.048300000000000002653,0.048300000000000002653
31,-178.75,0.18249999999999999556,0.18249999999999999556
32,-178.75,0.43830000000000002292,0.43830000000000002292
33,-178.75,0.47730000000000000204,0.47730000000000000204
34,-178.75,0.38650000000000001021,0.38650000000000001021
35,-178.75,0.10230000000000000204,0.10230000000000000204
36,-178.75,0.031800000000000001876,0.031800000000000001876
37,-178.75,0.02069999999999999965,0.02069999999999999965
38,-178.75,0.016699999999999999567,0.016699999999999999567
39,-178.75,0.063600000000000003753,0.063600000000000003753
40,-178.75,0.35959999999999997522,0.35959999999999997522
41,-178.75,0.71860000000000001652,0.71860000000000001652
42,-178.75,0.49190000000000000391,0.49190000000000000391
