lat,lng,pvalue,inside,group,rect,drywet
-69,-178.75,0.0082772488937702653339,false,,[object Object],
-68,-178.75,0.0015421030746220543758,false,,[object Object],
-67,-178.75,0.000166362373021768209,false,,[object Object],
-66,-178.75,0.001012156046248275992,false,,[object Object],
-65,-178.75,0.054234466330500573361,false,,[object Object],
-64,-178.75,0.12765771253631735815,false,,[object Object],
-63,-178.75,0.41454531830411650573,false,,[object Object],
-62,-178.75,0.12704943350593841944,false,,[object Object],
-61,-178.75,0.016015155176272333204,false,,[object Object],
-60,-178.75,0.047484482332703664698,false,,[object Object],
-59,-178.75,0.045275059951184623563,false,,[object Object],
-58,-178.75,0.029744008784267497031,false,,[object Object],
-57,-178.75,0.0025087422763320284431,false,,[object Object],
-56,-178.75,0.02121448549274303208,false,,[object Object],
-55,-178.75,0.12271016860991523778,false,,[object Object],
-54,-178.75,0.065397262677378553697,false,,[object Object],
-53,-178.75,0.025244249984141625687,false,,[object Object],
-52,-178.75,0.0062659816375981247996,false,,[object Object],
-51,-178.75,0.0017498378957899849047,false,,[object Object],
-50,-178.75,0.0011751246940663725646,false,,[object Object],
-49,-178.75,0.0050711496892734859998,false,,[object Object],
-48,-178.75,0.00085740293885859541513,false,,[object Object],
-47,-178.75,0.00029706368713146378679,false,,[object Object],
-46,-178.75,0.003137474245817352056,false,,[object Object],
-45,-178.75,0.00017477992461772042941,false,,[object Object],
-44,-178.75,4.0448269167625079784e-06,false,,[object Object],
-43,-178.75,0.00014925783071020770512,false,,[object Object],
-42,-178.75,0.0011323660955134364544,false,,[object Object],
-41,-178.75,0.007854090377142779883,false,,[object Object],
-40,-178.75,0.029781375552998947537,false,,[object Object],
-39,-178.75,0.023734822719606547131,false,,[object Object],
-38,-178.75,0.015295833117454339656,false,,[object Object],
-37,-178.75,0.0034381690146944752715,false,,[object Object],
-36,-178.75,0.0023195765009982813321,false,,[object Object],
-35,-178.75,0.0098380954463695973605,false,,[object Object],
-34,-178.75,0.035841635480361705435,false,,[object Object],
-33,-178.75,0.095677528938126005231,false,,[object Object],
-32,-178.75,0.10304336560421605007,false,,[object Object],
