lat,lng,pvalue,value
-69,-178.75,0.61776698719413647432,0.83161759291680625861
-68,-178.75,0.74962357716711014444,0.70358424559608989668
-67,-178.75,0.58808086306312401526,0.85983676761185767745
-66,-178.75,0.12194028258586747659,1.4832263293394067905
-65,-178.75,0.055432840832338153847,1.722467887927459973
-64,-178.75,0.05447696752308962137,1.7274988428701982812
-63,-178.75,0.30337063919743750828,1.1632026377350810353
-62,-178.75,0.42962899216339223152,1.0167987427689202384
-61,-178.75,0.31761298495243650564,1.1450071786486482051
-60,-178.75,0.12519861388176292682,1.4747667747150028372
-59,-178.75,0.10570132275636824615,1.5284781219515661821
-58,-178.75,0.054965981624546571271,1.7249152569179526662
-57,-178.75,0.18560211839437962267,1.3437044950004077837
-56,-178.75,0.26732944405026659584,1.2119941540034324667
-55,-178.75,0.19463148766358792652,1.327198019370825266
-54,-178.75,0.13674949881343390068,1.446189815658625033
-53,-178.75,0.084676128435934430727,1.5968946106773804772
-52,-178.75,0.1603154610201456276,1.3935877038569686182
-51,-178.75,0.1382644009759785575,1.4425924885776939544
-50,-178.75,0.25195063264732608932,1.2342275800793118812
-49,-178.75,0.097695779284021164179,1.5530124208245277284
-48,-178.75,0.003310882667405503927,2.4589197698200093711
-47,-178.75,0.0012603568739470855098,2.6885458042878949136
-46,-178.75,0.017122458453777418541,2.0455692798373634744
-45,-178.75,0.028799154645402311875,1.9063157485181512207
-44,-178.75,0.018401285051074311311,2.0265770300799244019
-43,-178.75,0.037831325837813872814,1.8310258425418464157
-42,-178.75,0.05852994976691517498,1.7066846161924655867
-41,-178.75,0.058937142266660684509,1.7046653992655678156
-40,-178.75,0.072071430829105859184,1.6453945935700815539
-39,-178.75,0.018402523105707252471,2.0265592484461714129
-38,-178.75,0.042408212133827262458,1.7989805195572654561
-37,-178.75,0.1269684833362685894,1.4702488665353361519
-36,-178.75,0.12409431894384001516,1.4776128979934637364
-35,-178.75,0.17302238589803167756,1.3677916814556803082
-34,-178.75,0.53893523387090658261,0.9069516405427078265
-33,-178.75,0.85735753754312882258,0.58365603909232477431
-32,-178.75,0.88803042595092585021,0.54277821700125361559
-31,-178.75,0.83052441296627343981,0.61615763112343713281
-30,-178.75,0.80080197482955639554,0.64973264855895129788
-29,-178.75,0.77286088708713940321,0.67962778289907188611
-28,-178.75,0.79634070522314392981,0.6546005014971821856
-27,-178.75,0.84687446900011209561,0.59665070181091939272
-26,-178.75,0.81828645828660795392,0.63024371349192576108
-25,-178.75,0.78887357154796677872,0.66266292798657078222
-24,-178.75,0.35792963800418731157,1.0961874355509442225
-23,-178.75,0.19857330546331405929,1.3201792134916632282
-22,-178.75,0.32570112063835621186,1.1349112591350640766
-21,-178.75,0.26685785227223751681,1.2126621649551634352
-20,-178.75,0.078375220758400448995,1.6202827298149513613
-19,-178.75,0.033434251521304969579,1.86533776347627267
-18,-178.75,0.015695717369620321852,2.0683921972943930534
-17,-178.75,0.013972905673604030935,2.0986985769966484128
-16,-178.75,0.081542397600212826458,1.6083289607905009166
-15,-178.75,0.35086321458101255022,1.1044872669119569775
-14,-178.75,0.48478203642656791938,0.96017474061239571625
-13,-178.75,0.34028334331891768594,1.1171074049772367065
