,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
100,-40,-100,0.0310999999999999,0.0310999999999999,"(-45.0, -35.0, -105.0, -95.0)",-1.5072396109731638,1.0,0.0
101,-30,-100,0.0055999999999999,0.0055999999999999,"(-35.0, -25.0, -105.0, -95.0)",-2.2518119729938073,1.0,19.0
102,-20,-100,0.0012999999999999,0.0012999999999999,"(-25.0, -15.0, -105.0, -95.0)",-2.886056647693197,0.0012999999999999,24.0
103,-10,-100,0.0379999999999999,0.0379999999999999,"(-15.0, -5.0, -105.0, -95.0)",-1.420216403383191,1.0,0.0
104,0,-100,0.0005999999999999,0.0005999999999999,"(-5.0, 5.0, -105.0, -95.0)",-3.221848749616429,0.0005999999999999,24.0
105,10,-100,0.3437999999999999,0.3437999999999999,"(5.0, 15.0, -105.0, -95.0)",-0.46369412764896656,1.0,0.0
106,20,-100,0.6794,0.6794,"(15.0, 25.0, -105.0, -95.0)",-0.16787445746599083,1.0,0.0
107,30,-100,0.0829,0.0829,"(25.0, 35.0, -105.0, -95.0)",-1.0814454694497264,1.0,0.0
108,40,-100,0.0587999999999999,0.0587999999999999,"(35.0, 45.0, -105.0, -95.0)",-1.2306226739238622,1.0,0.0
109,50,-100,0.5222999999999999,0.5222999999999999,"(45.0, 55.0, -105.0, -95.0)",-0.28207997416300645,1.0,0.0
110,60,-100,0.8505,0.8505,"(55.0, 65.0, -105.0, -95.0)",-0.07032568205141217,1.0,0.0
111,70,-100,0.0738999999999999,0.0738999999999999,"(65.0, 75.0, -105.0, -95.0)",-1.131355561605175,1.0,0.0
112,-60,-90,0.0002,0.0002,"(-65.0, -55.0, -95.0, -85.0)",-3.6989700043360187,0.0002,24.0
113,-50,-90,0.0664,0.0664,"(-55.0, -45.0, -95.0, -85.0)",-1.1778319206319825,1.0,0.0
114,-40,-90,0.0016,0.0016,"(-45.0, -35.0, -95.0, -85.0)",-2.795880017344075,0.0016,24.0
115,-30,-90,0.0022999999999999,0.0022999999999999,"(-35.0, -25.0, -95.0, -85.0)",-2.638272163982426,0.0022999999999999,24.0
116,-20,-90,0.0181,0.0181,"(-25.0, -15.0, -95.0, -85.0)",-1.7423214251308154,1.0,0.0
